년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원)
2016,4,서울특별시,관악구,270887.0,186.0,21007.0
2016,4,서울특별시,광진구,172669.0,198.0,24548.0
2016,4,서울특별시,구로구,188998.0,220.0,25826.0
2016,4,서울특별시,금천구,111851.0,201.0,22978.0
2016,4,서울특별시,노원구,219278.0,240.0,26560.0
2016,4,서울특별시,도봉구,140195.0,237.0,28197.0
2016,4,서울특별시,동대문구,175185.0,206.0,24719.0
2016,4,서울특별시,동작구,183495.0,207.0,25282.0
2016,4,서울특별시,마포구,182620.0,206.0,25140.0
2016,4,서울특별시,서대문구,147718.0,210.0,25602.0
2016,4,서울특별시,서초구,178978.0,248.0,36957.0
2016,4,서울특별시,성동구,130054.0,229.0,27718.0
2016,4,서울특별시,성북구,198584.0,227.0,28876.0
2016,4,서울특별시,송파구,257448.0,234.0,30266.0
2016,4,서울특별시,양천구,183496.0,242.0,30216.0
2016,4,서울특별시,영등포구,186697.0,208.0,24740.0
2016,4,서울특별시,용산구,117415.0,226.0,32268.0
2016,4,서울특별시,은평구,207168.0,221.0,27926.0
2016,4,서울특별시,종로구,80673.0,198.0,27493.0
2016,4,서울특별시,중구,65286.0,203.0,26052.0
2016,4,서울특별시,중랑구,179459.0,214.0,25625.0
2016,5,서울특별시,강남구,254890.0,224.0,30434.0
2016,5,서울특별시,강동구,185758.0,206.0,24115.0
2016,5,서울특별시,강북구,147196.0,198.0,22303.0
2016,5,서울특별시,강서구,252739.0,203.0,23361.0
2016,5,서울특별시,관악구,270970.0,173.0,18533.0
2016,5,서울특별시,광진구,172744.0,186.0,21999.0
2016,5,서울특별시,구로구,189129.0,207.0,23178.0
2016,5,서울특별시,금천구,111870.0,188.0,20360.0
2016,5,서울특별시,노원구,220151.0,224.0,23549.0
2016,5,서울특별시,도봉구,140340.0,220.0,24673.0
2016,5,서울특별시,동대문구,175236.0,194.0,21979.0
2016,5,서울특별시,동작구,183759.0,195.0,22539.0
2016,5,서울특별시,마포구,182358.0,196.0,22711.0
2016,5,서울특별시,서대문구,147620.0,198.0,23062.0
2016,5,서울특별시,서초구,179333.0,237.0,34005.0
2016,5,서울특별시,성동구,131262.0,212.0,24460.0
2016,5,서울특별시,성북구,198541.0,212.0,25545.0
2016,5,서울특별시,송파구,256793.0,220.0,27357.0
2016,5,서울특별시,양천구,184066.0,229.0,27331.0
2016,5,서울특별시,영등포구,186549.0,198.0,22715.0
2016,5,서울특별시,용산구,117310.0,213.0,29364.0
2016,5,서울특별시,은평구,207099.0,208.0,24945.0
2016,5,서울특별시,종로구,80709.0,186.0,24821.0
2016,5,서울특별시,중구,65248.0,193.0,22742.0
2016,5,서울특별시,중랑구,179824.0,201.0,22767.0
2016,6,서울특별시,강남구,254753.0,242.0,35539.0
2016,6,서울특별시,강동구,185440.0,216.0,26357.0
2016,6,서울특별시,강북구,147362.0,204.0,23534.0
2016,6,서울특별시,강서구,254014.0,209.0,24674.0
2016,6,서울특별시,관악구,271224.0,181.0,19825.0
2016,6,서울특별시,광진구,173144.0,198.0,24800.0
2016,6,서울특별시,구로구,189158.0,215.0,24654.0
2016,6,서울특별시,금천구,113728.0,192.0,21312.0
2016,6,서울특별시,노원구,220099.0,232.0,25035.0
2016,6,서울특별시,도봉구,140439.0,228.0,26241.0
2016,6,서울특별시,동대문구,176310.0,203.0,23794.0
2016,6,서울특별시,동작구,183883.0,204.0,24289.0
2016,6,서울특별시,마포구,182017.0,210.0,26049.0
2016,6,서울특별시,서대문구,147575.0,206.0,24716.0
2016,6,서울특별시,서초구,179561.0,252.0,38909.0
2016,6,서울특별시,성동구,132011.0,223.0,26917.0
2016,6,서울특별시,성북구,198418.0,221.0,27502.0
2016,6,서울특별시,송파구,256458.0,232.0,30141.0
2016,6,서울특별시,양천구,184223.0,236.0,29082.0
2016,6,서울특별시,영등포구,186499.0,206.0,24801.0
2016,6,서울특별시,용산구,117379.0,231.0,35781.0
2016,6,서울특별시,은평구,206915.0,213.0,26079.0
2016,6,서울특별시,종로구,80690.0,196.0,27412.0
2016,6,서울특별시,중구,65572.0,205.0,27527.0
2016,6,서울특별시,중랑구,180310.0,208.0,24453.0
2016,7,서울특별시,전체,4431201.0,235.0,32209.0
2016,8,서울특별시,전체,4439018.0,315.0,56756.0
2016,9,서울특별시,전체,4443438.0,262.0,23543.0
2016,10,서울특별시,전체,4446447.0,206.0,22614.0
2016,11,서울특별시,전체,4456103.0,214.0,26111.0
2016,12,서울특별시,전체,4462272.0,222.0,26227.0
2016,7,서울특별시,강남구,254798.0,280.0,49362.0
2016,7,서울특별시,강동구,184895.0,236.0,31298.0
2016,7,서울특별시,강북구,147662.0,215.0,26382.0
2016,7,서울특별시,강서구,254677.0,225.0,28600.0
2016,7,서울특별시,관악구,271811.0,195.0,22641.0
