년,월,시도,시군구,대상가구수(호),가구당 평균 전력 사용량(kWh),가구당 평균 전기요금(원),열대야일수,폭염일수,한파일수
2018,8,대전광역시,전체,765166,332,38616,18,19,0
2018,9,대전광역시,전체,765943,243,20414,0,0,0
2018,10,대전광역시,전체,766866,187,16987,0,0,0
2018,11,대전광역시,전체,767639,196,18829,0,0,0
2018,12,대전광역시,전체,768533,210,20826,0,0,0
2019,1,대전광역시,전체,769534,229,24197,0,0,0
2019,2,대전광역시,전체,770004,227,23839,0,0,0
2019,3,대전광역시,전체,770030,198,18799,0,0,0
2019,4,대전광역시,전체,770235,209,20584,0,0,0
2019,5,대전광역시,전체,770163,191,17850,0,0,0
2019,6,대전광역시,전체,770061,194,18208,0,1,0
2020,1,대전광역시,전체,779668,224,23499,0,0,0
2020,2,대전광역시,전체,779990,225,23798,0,0,0
2020,3,대전광역시,전체,781226,210,21133,0,0,0
2020,4,대전광역시,전체,780729,215,22027,0,0,0
2020,5,대전광역시,전체,782774,199,19347,0,0,0
2020,6,대전광역시,전체,782461,206,20237,0,3,0
2020,7,대전광역시,전체,782387,215,20448,0,0,0
2020,8,대전광역시,전체,782198,247,22697,17,10,0
2020,9,대전광역시,전체,782823,287,31857,0,0,0
2020,10,대전광역시,전체,782895,199,19037,0,0,0
2020,11,대전광역시,전체,783452,208,20529,0,0,0
2020,12,대전광역시,전체,785231,217,22094,0,0,1
2021,1,대전광역시,전체,785115,244,26435,0,0,4
2021,2,대전광역시,전체,785595,239,25654,0,0,0
2021,3,대전광역시,전체,785755,203,19313,0,0,0
2021,4,대전광역시,전체,785582,212,20810,0,0,0
2021,5,대전광역시,전체,788383,197,18417,0,0,0
2021,6,대전광역시,전체,788831,207,19732,0,0,0
2021,7,대전광역시,전체,780409,230,23196,11,16,0
2021,8,대전광역시,전체,786124,318,36882,4,5,0
2021,9,대전광역시,전체,787918,246,24861,0,0,0
2021,10,대전광역시,전체,789208,203,20578,0,0,0
2021,11,대전광역시,전체,789851,207,21410,0,0,0
2021,12,대전광역시,전체,790402,214,22387,0,0,2
2022,1,대전광역시,전체,790611,235,26326,0,0,0
2022,2,대전광역시,전체,790812,237,26779,0,0,0
2022,3,대전광역시,전체,790900,208,21521,0,0,0
2022,4,대전광역시,전체,790677,216,22071,0,0,0
2022,5,대전광역시,전체,791172,194,19317,0,0,0
2022,6,대전광역시,전체,792555,200,20223,2,4,0
2022,7,대전광역시,전체,792378,254,27762,6,11,0
2022,8,대전광역시,전체,791264,304,33306,9,5,0
2022,9,대전광역시,전체,791349,258,26935,0,2,0
2022,10,대전광역시,전체,791544,203,21468,0,0,0
2022,11,대전광역시,전체,794329,204,22748,0,0,0
2022,12,대전광역시,전체,794615,213,24126,0,0,1
2023,1,대전광역시,전체,795389,238,29910,0,0,1
2023,2,대전광역시,전체,795499,235,31302,0,0,0
2023,3,대전광역시,전체,796919,198,24456,0,0,0
2023,4,대전광역시,전체,796992,205,25728,0,0,0
2023,5,대전광역시,전체,797035,194,23889,0,0,0
2023,6,대전광역시,전체,798727,203,26525,0,3,0
2023,7,대전광역시,전체,801354,235,31395,2,7,0
2023,8,대전광역시,전체,801636,307,42923,6,15,0
2023,9,대전광역시,전체,801741,292,41555,0,0,0
2023,10,대전광역시,전체,803093,209,28008,0,0,0
2023,11,대전광역시,전체,805787,201,26563,0,0,0
2023,12,대전광역시,전체,806623,212,28528,0,0,2
2024,1,대전광역시,전체,808018,231,32462,0,0,1
2024,2,대전광역시,전체,809324,231,32479,0,0,0
2024,3,대전광역시,전체,811132,207,27765,0,0,0
2024,4,대전광역시,전체,811573,208,28003,0,0,0
2024,5,대전광역시,전체,814161,190,24877,0,0,0
2024,6,대전광역시,전체,814515,201,26879,0,6,0
2024,7,대전광역시,전체,815344,235,31707,11,5,0
2024,8,대전광역시,전체,816823,328,22987,19,21,0
2024,9,대전광역시,전체,817899,341,25080,6,11,0
2024,10,대전광역시,전체,823466,244,35660,0,0,0
2024,11,대전광역시,전체,823750,199,26342,0,0,0
2024,12,대전광역시,전체,823823,207,27752,0,0,0
2019,7,대전광역시,전체,772073,199,17729,10,5,0
2019,8,대전광역시,전체,773230,274,26751,12,12,0
2019,9,대전광역시,전체,775669,250,24744,1,0,0
2019,10,대전광역시,전체,776912,196,18441,0,0,0
2019,11,대전광역시,전체,776934,199,18951,0,0,0
2019,12,대전광역시,전체,779323,208,20481,0,0,0
2015,1,광주광역시,전체,678073,252,33309,0,0,0
2015,2,광주광역시,전체,679114,249,32592,0,0,0
2015,3,광주광역시,전체,679619,220,25687,0,0,0
2015,4,광주광역시,전체,680175,229,27583,0,0,0
2015,5,광주광역시,전체,680888,213,24064,0,1,0
2015,6,광주광역시,전체,681780,213,24143,0,0,0
2015,7,광주광역시,전체,682300,215,23700,5,5,0
2015,8,광주광역시,전체,683546,263,33616,6,8,0
2015,9,광주광역시,전체,684629,229,25947,0,0,0
2015,10,광주광역시,전체,685884,207,22337,0,0,0
2015,11,광주광역시,전체,687916,220,25760,0,0,0
2015,12,광주광역시,전체,688487,230,27942,0,0,0
2016,1,광주광역시,전체,688758,245,31621,0,0,0
2016,2,광주광역시,전체,689086,250,33009,0,0,0
2016,3,광주광역시,전체,691744,224,26530,0,0,0
2016,4,광주광역시,전체,692420,224,26607,0,0,0
2016,5,광주광역시,전체,692479,209,23361,0,0,0
2016,6,광주광역시,전체,693790,211,23752,0,0,0
2016,7,광주광역시,전체,695546,224,26518,11,9,0
2016,8,광주광역시,전체,696300,290,43715,16,21,0
2016,9,광주광역시,전체,697672,254,18270,0,1,0
2016,10,광주광역시,전체,697026,209,21143,0,0,0
2016,11,광주광역시,전체,698432,221,25569,0,0,0
2016,12,광주광역시,전체,701672,227,25840,0,0,0
2017,1,광주광역시,전체,702509,241,26248,0,0,0
2017,2,광주광역시,전체,704158,245,26999,0,0,0
2017,3,광주광역시,전체,703740,213,20735,0,0,0
2017,4,광주광역시,전체,705177,225,23115,0,0,0
2017,5,광주광역시,전체,707378,206,19971,0,1,0
2017,6,광주광역시,전체,709359,207,20118,0,5,0
2017,7,광주광역시,전체,709785,231,23976,13,13,0
2017,8,광주광역시,전체,710125,298,37226,9,10,0
2017,9,광주광역시,전체,712141,240,25721,0,0,0
2017,10,광주광역시,전체,713745,205,19756,0,0,0
2017,11,광주광역시,전체,715309,216,21631,0,0,0
2017,12,광주광역시,전체,718617,228,23667,0,0,0
2018,1,광주광역시,전체,719546,245,26740,0,0,0
2018,2,광주광역시,전체,720560,248,27404,0,0,0
2018,3,광주광역시,전체,720663,215,21331,0,0,0
2018,4,광주광역시,전체,720790,221,22521,0,0,0
2018,5,광주광역시,전체,723565,207,20142,0,0,0
2018,6,광주광역시,전체,723383,212,20945,0,2,0
2018,7,광주광역시,전체,723869,236,24928,16,20,0
2018,8,광주광역시,전체,723684,345,40008,14,21,0
2018,9,광주광역시,전체,723714,270,23744,0,0,0
2018,10,광주광역시,전체,725344,207,19665,0,0,0
2018,11,광주광역시,전체,727635,217,21625,0,0,0
2018,12,광주광역시,전체,731690,225,22960,0,0,0
2019,1,광주광역시,전체,734126,242,26085,0,0,0
2019,2,광주광역시,전체,735803,240,25858,0,0,0
2019,3,광주광역시,전체,736541,211,20651,0,0,0
2019,4,광주광역시,전체,739387,221,22584,0,0,0
2019,5,광주광역시,전체,739451,207,20096,0,0,0
2019,6,광주광역시,전체,739223,209,20343,0,0,0
2019,7,광주광역시,전체,740462,218,19942,8,0,0
2019,8,광주광역시,전체,743193,294,29756,14,12,0
2019,9,광주광역시,전체,743735,264,29013,0,0,0
2019,10,광주광역시,전체,744446,213,20929,0,0,0
2019,11,광주광역시,전체,746363,213,21079,0,0,0
2019,12,광주광역시,전체,747051,223,22647,0,0,0
2020,1,광주광역시,전체,747606,240,25894,0,0,0
2020,2,광주광역시,전체,748222,242,26306,0,0,0
2020,3,광주광역시,전체,748985,226,23514,0,0,0
2020,4,광주광역시,전체,752517,230,24332,0,0,0
2020,5,광주광역시,전체,752566,216,21872,0,0,0
2020,6,광주광역시,전체,754051,222,22611,0,2,0
2020,7,광주광역시,전체,755194,229,21952,0,0,0
2020,8,광주광역시,전체,754959,282,28076,16,11,0
2020,9,광주광역시,전체,754799,309,36069,0,0,0
2020,10,광주광역시,전체,756417,216,21554,0,0,0
2020,11,광주광역시,전체,757159,221,22441,0,0,0
2020,12,광주광역시,전체,758879,232,24371,0,0,0
