Date,Location,Number of Households,Avg Power Consumption per Household (kWh),Avg Electricity Btill per Household (KRW),Number of Tropical Nights,Number of Heatwave Days,Number of Coldwave Days,Year,Month,Avg Temperature (Celsius),Avg Max Temperature (Celsius),Avg Min Temperature (Celsius),Avg Local Pressure (hPa),Avg Sea Level Pressure (hPa),Avg Vapor Pressure (hPa),Avg Dew Point Temp (Celsius),Avg Relative Humidity (%),Monthly Precipitation (mm),Small Pan Evaporation (mm),Avg Wind Speed (m/s),Max Wind Speed (m/s),Avg Cloud Cover (1/10),Total Sunshine Hours (hr),Sunshine Rate (%),Total Solar Radiation (MJ/m^2),Avg Min Surface Temp (Celsius),Avg Ground Temp (Celsius)
2020-05-01,Busan,1701418,214,21771,0,0,0,2020,5,17.9,21.8,15.0,1002.5,1010.6,14.7,12.4,73,96.2,164.6,3.1,11.8,5.8,215.1,49.48,645.68,12.0,22.8
2020-06-01,Busan,1704717,216,22054,0,0,0,2020,6,22.4,26.6,19.5,998.5,1006.4,19.7,16.9,73,321.1,177.9,3.0,13.0,5.7,231.2,53.24,660.4,16.1,28.2
2020-07-01,Busan,1705416,221,21000,0,0,0,2020,7,22.1,24.8,20.3,999.3,1007.2,23.2,19.7,87,796.8,101.2,2.7,13.2,8.4,86.9,19.66,393.46,19.0,24.9
2020-08-01,Busan,1704536,277,28599,14,4,0,2020,8,27.2,30.4,24.8,1001.6,1009.5,29.5,23.8,82,399.2,167.3,4.0,13.4,5.9,206.0,49.44,582.67,23.0,31.4
2020-09-01,Busan,1707813,300,35631,1,0,0,2020,9,21.9,25.6,19.2,1002.6,1010.6,19.6,16.8,74,230.5,135.1,3.5,20.5,6.0,159.6,42.94,437.36,16.2,24.6
2020-10-01,Busan,1707535,213,21455,0,0,0,2020,10,17.3,22.2,13.8,1010.4,1018.6,11.5,8.4,58,26.4,149.2,2.8,8.9,4.2,219.8,62.78,462.44,8.1,20.6
2020-11-01,Busan,1708748,219,22432,0,0,0,2020,11,12.4,17.2,8.5,1014.5,1022.9,8.0,2.0,52,36.3,113.0,2.8,15.6,3.6,197.3,63.58,339.04,2.7,14.2
2020-12-01,Busan,1714841,231,24643,0,0,0,2020,12,4.3,9.3,0.5,1015.2,1023.9,3.8,-7.8,43,10.2,95.5,2.9,10.0,2.7,227.6,74.6,330.87,-5.7,6.1
2021-01-01,Busan,1716952,259,29547,0,0,1,2021,1,3.3,7.9,-0.8,1013.9,1022.6,4.5,-6.9,50,25.8,80.3,3.2,11.8,3.5,201.5,66.48,318.28,-5.9,4.8
2021-02-01,Busan,1717002,250,27727,0,0,0,2021,2,7.2,11.9,3.2,1010.9,1019.4,5.8,-3.3,51,49.5,108.9,3.7,12.1,3.6,204.8,66.95,393.23,-1.2,9.0
2021-03-01,Busan,1719544,215,21305,0,0,0,2021,3,11.4,15.9,7.7,1010.1,1018.5,8.6,4.2,64,127.5,131.0,3.3,11.3,5.1,215.3,57.97,515.26,3.7,14.0
2021-04-01,Busan,1721700,223,22741,0,0,0,2021,4,14.7,19.7,10.8,1009.3,1017.6,9.4,5.4,56,107.1,181.0,3.4,12.9,4.8,242.8,61.83,646.07,7.5,20.1
2021-05-01,Busan,1726843,209,20396,0,0,0,2021,5,17.7,21.5,14.7,1000.7,1008.9,13.7,10.9,68,139.2,164.9,3.5,14.8,6.0,190.8,43.9,585.96,11.3,22.1
2021-06-01,Busan,1728096,217,21543,0,0,0,2021,6,21.9,25.4,19.3,999.7,1007.7,19.7,17.1,76,232.3,165.9,2.6,9.4,6.1,208.0,47.89,630.93,15.9,27.9
2021-07-01,Busan,1731034,242,24276,17,0,0,2021,7,26.3,29.5,24.0,1000.2,1008.0,27.2,22.4,80,399.9,170.0,3.2,14.6,6.5,193.8,43.84,603.76,21.6,30.9
2021-08-01,Busan,1730634,323,37161,8,3,0,2021,8,26.2,29.4,23.8,999.8,1007.6,27.7,22.7,82,481.2,142.8,3.0,18.0,7.0,154.4,37.03,500.44,21.1,29.6
2021-09-01,Busan,1730895,268,28709,0,0,0,2021,9,22.9,26.4,20.5,1004.4,1012.4,21.8,18.8,79,164.7,109.7,3.0,9.4,7.3,95.2,26.47,367.94,17.9,24.9
2021-10-01,Busan,1733848,221,23435,0,0,0,2021,10,18.7,23.3,15.2,1011.0,1019.2,15.3,12.0,67,18.2,132.3,2.6,9.6,3.9,215.9,61.62,453.21,10.9,20.7
2021-11-01,Busan,1736148,219,23105,0,0,0,2021,11,12.5,17.4,8.6,1010.0,1018.4,8.2,3.5,56,57.9,113.0,3.0,11.8,2.6,221.0,71.2,359.73,4.5,12.1
2021-12-01,Busan,1738570,225,24124,0,0,0,2021,12,6.0,10.8,1.9,1014.3,1023.0,5.1,-4.3,50,4.5,93.8,3.0,11.2,1.9,231.1,75.72,339.36,-1.9,4.7
2022-01-01,Busan,1737741,249,28506,0,0,0,2022,1,4.0,9.2,0.0,1013.7,1022.4,3.5,-9.0,41,0.0,103.4,2.8,8.9,2.9,233.8,74.62,369.0,-3.7,3.4
2022-02-01,Busan,1717997,251,29315,0,0,0,2022,2,3.6,8.8,-0.5,1014.8,1023.5,3.6,-8.1,44,0.0,105.6,3.3,11.6,2.7,242.8,79.4,446.81,-3.6,5.6
2022-03-01,Busan,1722026,221,23670,0,0,0,2022,3,10.5,14.8,6.8,1008.3,1016.7,8.5,3.5,65,127.4,114.5,3.4,12.0,5.1,190.1,51.21,479.0,3.6,12.5
2022-04-01,Busan,1726489,226,23949,0,0,0,2022,4,14.9,19.1,11.4,1008.3,1016.6,10.8,7.3,64,130.6,160.2,3.3,11.9,4.4,233.6,59.55,611.32,7.8,18.4
2022-05-01,Busan,1728411,206,21192,0,0,0,2022,5,19.0,23.4,15.3,1003.8,1011.9,13.2,10.6,60,5.4,224.4,3.2,9.0,4.0,293.6,67.57,796.12,10.7,25.1
2022-06-01,Busan,1730594,212,22059,0,0,0,2022,6,21.7,24.9,19.4,1000.1,1008.1,22.0,18.6,84,152.0,137.6,4.3,13.9,6.3,174.2,40.11,554.45,17.4,26.9
2022-07-01,Busan,1733481,261,28750,8,0,0,2022,7,26.2,29.7,23.7,998.0,1005.8,28.3,23.0,84,145.0,156.1,2.6,10.1,6.1,193.8,43.84,622.11,21.5,31.0
2022-08-01,Busan,1737097,319,37149,16,1,0,2022,8,26.4,29.7,24.0,999.2,1007.1,28.0,22.7,81,176.7,157.3,3.7,10.5,6.7,163.6,39.2,524.39,21.9,31.1
2022-09-01,Busan,1736692,269,29837,2,0,0,2022,9,22.9,26.9,20.2,1003.4,1011.3,21.3,18.1,76,162.4,116.1,3.0,16.2,6.7,135.1,36.3,435.03,17.3,26.2
2022-10-01,Busan,1736686,214,23354,0,0,0,2022,10,17.6,22.7,14.0,1011.5,1019.7,13.3,10.3,64,9.7,141.1,3.1,12.6,4.2,210.3,59.95,459.77,9.5,21.4
2022-11-01,Busan,1737869,213,24144,0,0,0,2022,11,14.4,19.8,10.4,1010.8,1019.1,9.8,5.3,57,61.3,108.8,2.7,12.3,3.5,195.6,67.47,331.73,4.9,16.2
2022-12-01,Busan,1739044,223,25746,0,0,0,2022,12,3.3,8.1,-0.3,1013.3,1022.0,3.5,-8.5,44,21.4,95.2,3.3,14.7,2.9,224.7,73.65,332.4,-4.2,6.1
2023-01-01,Busan,1740119,248,32034,0,0,1,2023,1,3.8,8.9,-0.2,1013.2,1021.9,4.5,-6.8,49,79.2,92.1,3.2,10.8,2.5,234.1,74.74,362.71,-4.7,6.3
2023-02-01,Busan,1742852,245,33159,0,0,0,2023,2,6.8,11.8,2.9,1014.4,1023.0,5.6,-2.1,56,30.0,93.0,3.0,9.2,4.5,177.5,58.06,372.98,-2.0,10.9
2023-03-01,Busan,1743998,208,25983,0,0,0,2023,3,12.3,17.0,8.5,1010.5,1018.9,9.1,4.4,62,76.2,135.6,3.3,13.2,4.3,215.9,58.19,522.09,3.6,17.2
2023-04-01,Busan,1746937,216,27512,0,0,0,2023,4,14.6,19.0,11.0,1005.8,1014.1,11.3,7.9,67,101.6,154.5,3.8,14.1,4.6,216.4,55.18,577.61,6.4,19.9
2023-05-01,Busan,1752949,206,25758,0,0,0,2023,5,17.9,21.6,14.9,1004.8,1012.9,14.8,12.3,73,290.7,147.2,3.0,12.5,6.0,194.5,46.31,561.64,11.1,23.2
2023-06-01,Busan,1756039,215,28518,0,0,0,2023,6,22.5,26.0,19.9,999.8,1007.7,19.4,16.7,72,153.9,175.1,3.2,11.9,6.3,199.7,45.99,618.05,16.9,27.2
2023-07-01,Busan,1759506,243,32493,7,1,0,2023,7,25.5,28.5,23.3,1001.0,1008.9,26.2,21.8,81,701.7,149.5,3.5,16.5,7.0,143.5,32.44,513.02,21.9,29.1
2023-08-01,Busan,1763212,328,48406,20,8,0,2023,8,27.8,31.0,25.5,997.6,1005.4,27.1,22.4,73,299.9,187.7,3.1,13.7,5.6,213.1,51.05,592.52,23.1,32.5
2023-09-01,Busan,1764093,300,44699,0,0,0,2023,9,24.5,28.2,21.9,1004.2,1012.2,21.8,18.6,71,322.7,140.2,2.7,13.2,6.0,150.9,40.51,433.06,18.6,27.8
